,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Chris Kirk,12
1,2,2,Gary Woodland,11
2,T3,T3,Patrick Cantlay,10
3,T3,T3,Tony Finau,10
4,T3,T3,Tommy Fleetwood,10
5,T6,T6,Byeong Hun An,9
6,T6,T6,Keegan Bradley,9
7,T6,T6,Rafa Cabrera Bello,9
8,T6,T6,Rickie Fowler,9
9,T6,T6,Webb Simpson,9
10,T11,T11,Austin Cook,8
11,T11,T11,Lanto Griffin,8
12,T11,T11,Marc Leishman,8
13,T11,T11,Louis Oosthuizen,8
14,T11,T11,C.T. Pan,8
15,T11,T11,Julian Suri,8
16,T11,T11,Kevin Tway,8
17,T11,T11,Tiger Woods,8
18,T19,T19,Tyrrell Hatton,7
19,T19,T19,Dustin Johnson,7
20,T19,T19,Hideki Matsuyama,7
21,T19,T19,Rory McIlroy,7
22,T19,T19,Andrew Putnam,7
23,T19,T19,Cameron Smith,7
24,T19,T19,Jordan Spieth,7
25,T19,T19,Johnson Wagner,7
26,T27,T27,Ross Fisher,6
27,T27,T27,Brian Gay,6
28,T27,T27,Brooks Koepka,6
29,T27,T27,Jason Kokrak,6
30,T27,T27,Joaquin Niemann,6
31,T27,T27,Pat Perez,6
32,T27,T27,Adam Scott,6
33,T27,T27,Justin Thomas,6
34,T27,T27,Harold Varner III,6
35,T36,T36,Ricky Barnes,5
36,T36,T36,Gavin Kyle Green,5
37,T36,T36,Emiliano Grillo,5
38,T36,T36,Brian Harman,5
39,T36,T36,Kevin Kisner,5
40,T36,T36,Andrew Landry,5
41,T36,T36,Danny Lee,5
42,T36,T36,"Ted Potter, Jr.",5
43,T36,T36,Sam Ryder,5
44,T36,T36,Brandt Snedeker,5
45,T36,T36,J.J. Spaun,5
46,T36,T36,Brandon Stone,5
47,T48,T48,Ryan Armour,4
48,T48,T48,Paul Casey,4
49,T48,T48,Bryson DeChambeau,4
50,T48,T48,Ryan Fox,4
51,T48,T48,Jim Furyk,4
52,T48,T48,Stephan Jaeger,4
53,T48,T48,Patton Kizzire,4
54,T48,T48,Denny McCarthy,4
55,T48,T48,Phil Mickelson,4
56,T48,T48,Patrick Reed,4
57,T48,T48,Kyle Stanley,4
58,T48,T48,Hudson Swafford,4
59,T48,T48,Jimmy Walker,4
60,T48,T48,Bubba Watson,4
61,T48,T48,Aaron Wise,4
62,T63,T63,Aaron Baddeley,3
63,T63,T63,Graham DeLaet,3
64,T63,T63,Martin Flores,3
65,T63,T63,Adam Hadwin,3
66,T63,T63,Seungsu Han,3
67,T63,T63,Nick Hardy,3
68,T63,T63,Beau Hossler,3
69,T63,T63,Yuta Ikeda,3
70,T63,T63,Si Woo Kim,3
71,T63,T63,Martin Laird,3
72,T63,T63,David Lipsky,3
73,T63,T63,Jamie Lovemark,3
74,T63,T63,Graeme McDowell,3
75,T63,T63,John Oda,3
76,T63,T63,Thorbjørn Olesen,3
77,T63,T63,Jon Rahm,3
78,T63,T63,Justin Rose,3
79,T63,T63,Sam Saunders,3
80,T63,T63,Xander Schauffele,3
81,T63,T63,Vijay Singh,3
82,T63,T63,Shawn Stefani,3
83,T63,T63,Henrik Stenson,3
84,T63,T63,D.J. Trahan,3
85,T63,T63,Peter Uihlein,3
86,T63,T63,Bernd Wiesberger,3
87,T88,T88,Abraham Ancer,2
88,T88,T88,Daniel Berger,2
89,T88,T88,Jonas Blixt,2
90,T88,T88,Bronson Burgoon,2
91,T88,T88,Dean Burmester,2
92,T88,T88,Sam Burns,2
93,T88,T88,Jonathan Byrd,2
94,T88,T88,SSP Chawrasia,2
95,T88,T88,Jason Day,2
96,T88,T88,Brice Garnett,2
97,T88,T88,Doug Ghim,2
98,T88,T88,Scott Hend,2
99,T88,T88,Charley Hoffman,2
100,T88,T88,Billy Horschel,2
101,T88,T88,Charles Howell III,2
102,T88,T88,Billy Hurley III,2
103,T88,T88,Poom Saksansin,2
104,T88,T88,Sung Kang,2
105,T88,T88,Daisuke Kataoka,2
106,T88,T88,Phachara Khongwatmai,2
107,T88,T88,Whee Kim,2
108,T88,T88,Matt Kuchar,2
109,T88,T88,Bernhard Langer,2
110,T88,T88,Nate Lashley,2
111,T88,T88,Michael Lorenzo-Vera,2
112,T88,T88,Steve Marino,2
113,T88,T88,Maverick McNealy,2
114,T88,T88,Dylan Meyer,2
115,T88,T88,Keith Mitchell,2
116,T88,T88,Francesco Molinari,2
117,T88,T88,Trey Mullinax,2
118,T88,T88,Kevin Na,2
119,T88,T88,Alex Noren,2
120,T88,T88,Wade Ormsby,2
121,T88,T88,Eddie Pepperell,2
122,T88,T88,Thomas Pieters,2
123,T88,T88,Patrick Rodgers,2
124,T88,T88,Brett Rumford,2
125,T88,T88,Conrad Shindler,2
126,T88,T88,Heath Slocum,2
127,T88,T88,Scott Stallings,2
128,T88,T88,Brett Stegmaier,2
129,T88,T88,Brian Stuard,2
130,T88,T88,Josh Teater,2
131,T88,T88,Michael Thompson,2
132,T88,T88,Nick Watney,2
133,T88,T88,Lee Westwood,2
134,T88,T88,Xinjun Zhang,2
